step_file,gt_file,jaccard_ratio,gt_length,pred_length,diff_length
pdf_text_1.json,1.json,1.0,1046,1046,0
pdf_text_2.json,2.json,1.0,1656,1656,0
pdf_text_3.json,3.json,1.0,6544,6544,0
pdf_text_4.json,4.json,1.0,992,992,0
pdf_text_5.json,5.json,0.9623,3250,3092,158
pdf_text_6.json,6.json,1.0,981,981,0
pdf_text_7.json,7.json,1.0,4886,4886,0
pdf_text_8.json,8.json,1.0,1000,1000,0
pdf_text_9.json,9.json,1.0,1958,1958,0
pdf_text_10.json,10.json,1.0,586,586,0
pdf_text_11.json,11.json,0.9742,1951,1894,57
pdf_text_12.json,12.json,1.0,572,572,0
pdf_text_13.json,13.json,0.8733,6475,6506,31
pdf_text_14.json,14.json,1.0,569,569,0
pdf_text_15.json,15.json,1.0,1954,1954,0
pdf_text_16.json,16.json,1.0,570,570,0
pdf_text_17.json,17.json,1.0,3332,3332,0
pdf_text_18.json,18.json,1.0,572,572,0
pdf_text_19.json,19.json,0.9786,5468,5358,110
pdf_text_20.json,20.json,1.0,701,701,0
pdf_text_21.json,21.json,0.9781,1307,1308,1
pdf_text_22.json,22.json,1.0,748,748,0
pdf_text_23.json,23.json,1.0,3261,3261,0
pdf_text_24.json,24.json,1.0,727,727,0
pdf_text_25.json,25.json,0.997,3870,3871,1
pdf_text_26.json,26.json,1.0,632,632,0
pdf_text_27.json,27.json,0.95,1798,1682,116
pdf_text_28.json,28.json,1.0,663,663,0
pdf_text_29.json,29.json,1.0,2942,2942,0
pdf_text_30.json,30.json,1.0,733,733,0
pdf_text_31.json,31.json,0.9032,3454,3467,13
pdf_text_32.json,32.json,1.0,691,691,0
pdf_text_33.json,33.json,1.0,1687,1687,0
pdf_text_34.json,34.json,1.0,721,721,0
pdf_text_35.json,35.json,1.0,3705,3705,0
pdf_text_36.json,36.json,1.0,703,703,0
pdf_text_37.json,37.json,1.0,4325,4325,0
pdf_text_38.json,38.json,1.0,701,701,0
pdf_text_39.json,39.json,0.9874,1776,1706,70
pdf_text_40.json,40.json,0.8068,652,668,16
pdf_text_41.json,41.json,1.0,3929,3929,0
pdf_text_42.json,42.json,0.7973,540,556,16
pdf_text_43.json,43.json,1.0,3693,3693,0
pdf_text_44.json,44.json,0.7792,541,557,16
pdf_text_45.json,45.json,1.0,1723,1723,0
pdf_text_46.json,46.json,0.7922,602,618,16
pdf_text_47.json,47.json,1.0,3757,3757,0
pdf_text_48.json,48.json,0.7973,534,549,15
pdf_text_49.json,49.json,1.0,3020,3020,0
pdf_text_50.json,50.json,0.8171,582,598,16
pdf_text_51.json,51.json,1.0,2002,2002,0
pdf_text_52.json,52.json,0.7927,578,594,16
pdf_text_53.json,53.json,1.0,3044,3044,0
pdf_text_54.json,54.json,0.8026,531,547,16
pdf_text_55.json,55.json,1.0,2664,2664,0
pdf_text_56.json,56.json,0.8046,727,743,16
pdf_text_57.json,57.json,1.0,6605,6605,0
pdf_text_58.json,58.json,0.8125,593,609,16
pdf_text_59.json,59.json,1.0,5937,5937,0
pdf_text_60.json,60.json,1.0,754,754,0
pdf_text_61.json,61.json,1.0,6601,6601,0
pdf_text_62.json,62.json,1.0,992,992,0
pdf_text_63.json,63.json,1.0,5661,5661,0
pdf_text_64.json,64.json,1.0,873,873,0
pdf_text_65.json,65.json,1.0,4782,4782,0
pdf_text_66.json,66.json,1.0,810,810,0
pdf_text_67.json,67.json,1.0,4633,4633,0
pdf_text_68.json,68.json,1.0,958,958,0
pdf_text_69.json,69.json,0.8859,3405,3423,18
pdf_text_70.json,70.json,1.0,841,841,0
pdf_text_71.json,71.json,1.0,2948,2948,0
pdf_text_72.json,72.json,1.0,902,902,0
pdf_text_73.json,73.json,1.0,2413,2413,0
pdf_text_74.json,74.json,1.0,1047,1047,0
pdf_text_75.json,75.json,0.981,5688,5539,149
pdf_text_76.json,76.json,1.0,968,968,0
pdf_text_77.json,77.json,0.9852,6578,6582,4
pdf_text_78.json,78.json,0.9603,1332,1334,2
pdf_text_79.json,79.json,1.0,959,959,0
pdf_text_80.json,80.json,1.0,953,953,0
pdf_text_81.json,81.json,1.0,929,929,0
pdf_text_82.json,82.json,1.0,908,908,0
pdf_text_83.json,83.json,0.8103,1015,1043,28
pdf_text_84.json,84.json,0.8544,940,965,25
pdf_text_85.json,85.json,0.9703,977,978,1
pdf_text_86.json,86.json,0.9709,965,966,1
pdf_text_87.json,87.json,0.9389,1444,1448,4
